0,0,0,191
0,0,279,0
279,0,279,191
0,191,279,191
120,3,128,3
114,4,133,4
109,5,136,5
106,6,138,6
103,7,140,7
102,8,141,8
101,9,143,9
99,10,144,10
97,11,145,11
96,12,146,12
95,13,148,13
94,14,149,14
93,15,150,15
92,16,151,16
91,17,152,17
90,18,153,18
90,19,154,19
89,20,154,20
89,21,155,21
88,22,156,22
88,23,157,23
87,24,157,24
87,25,158,25
86,26,159,26
86,27,159,27
85,28,160,28
85,29,161,29
85,30,161,30
84,31,161,31
84,32,162,32
84,33,162,33
83,34,163,34
83,35,163,35
83,36,164,36
82,37,164,37
82,38,164,38
82,39,165,39
82,40,165,40
81,41,165,41
81,42,165,42
81,43,166,43
81,44,166,44
81,45,166,45
81,46,166,46
80,47,109,47
112,47,165,47
81,48,109,48
116,48,165,48
81,49,109,49
120,49,156,49
160,49,166,49
48,50,50,50
81,50,109,50
124,50,153,50
161,50,165,50
47,51,51,51
81,51,109,51
129,51,150,51
161,51,165,51
45,52,47,52
51,52,53,52
81,52,109,52
132,52,147,52
161,52,165,52
26,53,28,53
45,53,46,53
52,53,53,53
81,53,109,53
161,53,165,53
25,54,30,54
44,54,46,54
52,54,54,54
57,54,58,54
82,54,109,54
161,54,165,54
25,55,25,55
30,55,32,55
44,55,46,55
53,55,59,55
82,55,110,55
162,55,165,55
23,56,24,56
31,56,32,56
44,56,46,56
54,56,55,56
59,56,60,56
82,56,110,56
157,56,158,56
162,56,164,56
22,57,24,57
31,57,32,57
44,57,45,57
54,57,55,57
59,57,60,57
83,57,112,57
157,57,158,57
162,57,165,57
22,58,23,58
31,58,32,58
44,58,45,58
53,58,54,58
60,58,61,58
78,58,78,58
83,58,114,58
156,58,157,58
162,58,164,58
22,59,23,59
31,59,32,59
44,59,45,59
53,59,54,59
60,59,61,59
78,59,79,59
83,59,116,59
155,59,157,59
162,59,164,59
22,60,23,60
31,60,32,60
43,60,45,60
53,60,54,60
60,60,61,60
78,60,80,60
84,60,118,60
152,60,156,60
162,60,164,60
22,61,23,61
31,61,32,61
43,61,45,61
53,61,54,61
60,61,61,61
79,61,81,61
84,61,120,61
151,61,155,61
162,61,163,61
22,62,23,62
31,62,32,62
43,62,45,62
53,62,54,62
60,62,61,62
79,62,81,62
84,62,122,62
148,62,154,62
162,62,163,62
22,63,23,63
31,63,32,63
43,63,45,63
53,63,54,63
60,63,61,63
80,63,124,63
146,63,154,63
162,63,162,63
22,64,23,64
31,64,32,64
42,64,44,64
53,64,54,64
60,64,60,64
80,64,127,64
